Rank	Freq	Keyness	Keyword
1044	5	3.549	выходные
1045	5	13.52	вышло
1046	5	13.52	Гешу
1047	5	13.52	голову
1048	5	13.52	Гончар
1049	5	13.52	Горбачёв
1050	5	13.52	гости
1051	5	8.712	грубо
1052	5	13.52	Грустный
1053	5	13.52	грязь
1054	5	13.52	гэкаю
1055	5	13.52	Даже
1056	5	13.52	двадцати
1057	5	13.52	Дед
1058	5	13.52	дед
1059	5	8.712	делаем
1060	5	6.341	делала
1061	5	0.987	делают
1062	5	2.651	держать
1063	5	0.987	детали
1064	5	8.712	детства
1065	5	13.52	доехали
1066	5	1.954	дороже
1067	5	13.52	ездила
1068	5	13.52	ест
1069	5	13.52	ехали
1070	5	0.108	желание
1071	5	13.52	жестко
1072	5	13.52	живу
1073	5	13.52	жила
1074	5	1.954	заранее
1075	5	13.52	зашли
1076	5	13.52	звук
1077	5	13.52	Земли
1078	5	2.651	знать
1079	5	1.41	идее
1080	5	13.52	идешь
1081	5	0.108	изначально
1082	5	13.52	ИльяМихайлович
1083	5	8.712	имею
1084	5	0.108	иначе
1085	5	13.52	инопланетян
1086	5	8.712	ка
1087	5	0.232	каждом
1088	5	13.52	Какая
1089	5	13.52	камеру
1090	5	13.52	картинки
1091	5	13.52	КИЛИ
1092	5	13.52	килограмм
1093	5	8.712	классов
1094	5	6.341	книги
1095	5	13.52	колесо
1096	5	13.52	комнате
1097	5	13.52	коридоре
1098	5	6.341	корпус
1099	5	6.341	корреспондентом
1100	5	13.52	красиво
1101	5	13.52	красивые
1102	5	13.52	крестик
1103	5	13.52	крысу
1104	5	3.549	купили
1105	5	13.52	лекцию
1106	5	13.52	лилии
1107	5	13.52	лингвисты
1108	5	13.52	лука
1109	5	13.52	Лучше
1110	5	13.52	Люди
1111	5	4.731	магазин
1112	5	13.52	Маккартни
1113	5	13.52	мальчик
1114	5	13.52	Марина
1115	5	13.52	Мария
1116	5	13.52	Марс
1117	5	13.52	математический
1118	5	8.712	машину
1119	5	13.52	Меровинги
1120	5	13.52	мечты
1121	5	13.52	миндаль
1122	5	4.731	многим
1123	5	13.52	Могу
1124	5	13.52	мол
1125	5	13.52	Москва
1126	5	13.52	мужик
1127	5	8.712	мужчина
1128	5	1.954	н
1129	5	13.52	нагло
1130	5	8.712	назывался
1131	5	13.52	най
1132	5	8.712	недалеко
1133	5	13.52	ненавидят
1134	5	13.52	Ни
1135	5	0.412	никакой
1136	5	1.41	никому
1137	5	0.412	нужны
1138	5	13.52	Нуу
1139	5	13.52	нуу
1140	5	13.52	нём
1141	5	13.52	одновременнно
1142	5	13.52	ок
1143	5	13.52	Окей
1144	5	4.731	осталась
1145	5	8.712	остановиться
1146	5	1.954	оттуда
1147	5	1.41	оценки
1148	5	13.52	пальто
1149	5	8.712	переехать
1150	5	8.712	писать
1151	5	13.52	платье
1152	5	2.651	победил
1153	5	13.52	подожди
1154	5	13.52	подумал
1155	5	13.52	поехала
1156	5	0.987	поздно
1157	5	0.108	показывает
1158	5	0.232	поле
1159	5	13.52	Получается
1160	5	13.52	получалось
1161	5	4.731	последняя
1162	5	13.52	построили
1163	5	8.712	приходили
